course_id,course_name,instructor_id,category_id,price,creation_date,status
C0055,Facebook Ads Mastery,INST037,CAT007,699,02/08/2022,Inactive
C0056,B2B Sales Strategy,INST004,CAT007,3604,2022-11-23,Inactive
C0057,Risk Management in Projects,INST026,CAT008,999,10/06/2024,Inactive
C0058,KANBAN ESSENTIALS,INST023,CAT008,1699,2023-08-10,Inactive
C0059,Stakeholder Management Workshop,INST026,CAT008,3199,01-Dec-2023,inactive
C0060,Project Management Fundamentals,INST015,CAT008,2599,26/11/2024,Active
C0061,prince2 foundation training,INST036,CAT008,2599,2024-08-14,active
C0062,PRINCE2 Foundation Training,INST029,CAT008,3999,23/12/2022,Inactive
C0063,Lean Project Management,INST007,CAT008,2499,2023-03-24,Active
C0064,Kanban Essentials,INST044,CAT008,1999,2024-05-04,Active
C0065,Stakeholder Management Workshop,INST030,CAT008,3012,11-29-2024,Active
C0066,Growth Hacking Strategies,INST009,CAT009,3918,2024-07-12,Removed
C0067,Growth Hacking Strategies,INST003,CAT009,2099,04-15-2023,Inactive
C0068,Building a Scalable Business,INST040,CAT009,2499,20/08/2024,Active
C0069,Business Model Canvas Workshop,INST002,CAT009,3033,2022-08-14,Active
C0070,Growth Hacking Strategies,INST045,CAT009,1599,04-May-2024,Inactive
C0071,Funding & Fundraising for Startups,INST020,CAT009,1799,28/10/2022,Removed
C0072,Lean Startup Methodology,INST003,CAT009,399,2024-08-02,active
C0073,Business Model Canvas Workshop,INST027,CAT009,3377,2023-05-02,INACTIVE
C0074,Funding & Fundraising for Startups,INST005,CAT009,610,14-Apr-2023,Inactive
C0075,Illustrator CC Masterclass,INST011,CAT011,3899,2022-12-06,Removed
C0076, Typography Essentials ,INST027,CAT011,1999,27/02/2024,Active
C0077, Illustrator CC Masterclass ,INST022,CAT011,1799,2024-03-28,Active
C0078, Logo Design Fundamentals ,INST017,CAT011,1099,2023-08-13,Active
C0079,Brand Identity Design,INST037,CAT011,599,07-Oct-2022,Inactive
C0080,Graphic Design Theory & Practice,INST033,CAT011,1699,2025-02-02,Active
C0081,Print Design Workshop,INST043,CAT011,2799,16-Apr-2022,Active
C0082,Graphic Design Theory & Practice,INST022,CAT011,1999,2024-12-30,Active
C0083,Adobe Photoshop Complete Course,INST023,CAT011,1596,22/11/2022,inactive
C0084, Design Thinking Workshop ,INST004,CAT012,998,2023-12-24,Active
C0085,User Research & Testing,INST023,CAT012,3301,19-Apr-2023,Removed
C0086,Design Thinking Workshop,INST022,CAT012,3199,2022-11-15,active
C0087,responsive web design,INST024,CAT012,2599,10-Dec-2023,Inactive
C0088, UI/UX Design Bootcamp ,INST028,CAT012,3675,12-01-2023,Active
C0089,Responsive Web Design,INST025,CAT012,2299,2024-08-08,Active
C0090,Interaction Design Principles,INST008,CAT012,1799,2022-03-09,Active
C0091,UI/UX Design Bootcamp,INST027,CAT012,1099,08-19-2024,Inactive
C0092,Adobe XD Essentials,INST045,CAT012,3399,12/07/2023,Active
C0093,UI/UX Design Bootcamp,INST002,CAT012,999,04/05/2022,Active
C0094, Design Thinking Workshop ,INST032,CAT012,2199,09-27-2023,ACTIVE
C0095,AFTER EFFECTS ANIMATION,INST038,CAT013,2397,2023-09-27,Removed
C0096,Color Grading & Correction,INST044,CAT013,799,2023-02-12,Active
C0097,Color Grading & Correction,INST032,CAT013,1739,2023-09-10,Inactive
C0098,Final Cut Pro X Masterclass,INST040,CAT013,3719,2022-06-02,Removed
C0099,Final Cut Pro X Masterclass,INST030,CAT013,1199,09/02/2025,Active
C0100,After Effects Animation,INST016,CAT013,813,2022-07-22,Inactive
C0101,AFTER EFFECTS ANIMATION,INST044,CAT013,3799,2024-10-27,Active
C0102,Video Marketing Strategy,INST022,CAT013,3204,08/05/2024,Active
C0103,CINEMATOGRAPHY FUNDAMENTALS,INST029,CAT013,1299,2022-05-28,removed
C0104,effective presentation skills,INST010,CAT015,1599,2024-01-18,inactive
C0105,Interpersonal Communication,INST034,CAT015,599,10/06/2023,Inactive
C0106,Interpersonal Communication,INST030,CAT015,3399,2023-03-26,INACTIVE
C0107,Professional Writing Workshop,INST020,CAT015,1352,22/04/2024,active
C0108, Professional Writing Workshop ,INST045,CAT015,3347,16/03/2022,Active
C0109,Interpersonal Communication,INST014,CAT015,1499,2024-04-18,ACTIVE
C0110,Professional Writing Workshop,INST009,CAT015,1499,2024-02-28,Active
C0111,Conflict Resolution Skills,INST034,CAT015,599,09-Jul-2022,Inactive
C0112,Effective Presentation Skills,INST023,CAT015,2999,2024-12-21,Active
C0113,PUBLIC SPEAKING MASTERY,INST029,CAT015,3899,2024-05-03,Inactive
C0114,Decision Making Skills,INST020,CAT016,1942,2024-11-06,Active
C0115,Change Management Essentials,INST024,CAT016,1061,2022-04-21,Removed
C0116,leadership development program,INST011,CAT016,3799,20/11/2022,inactive
C0117,team building & motivation,INST007,CAT016,1348,2024-02-16,Active
C0118,COACHING & MENTORING SKILLS,INST045,CAT016,1099,05-Jul-2022,Active
C0119,Team Building & Motivation,INST030,CAT016,1599,2022-08-17,Active
C0120,Decision Making Skills,INST022,CAT016,2399,2022-01-29,Inactive
C0121,Coaching & Mentoring Skills,INST011,CAT016,2199,2025-02-04,INACTIVE
C0122,Management Fundamentals,INST030,CAT016,1599,23/02/2022,Active
C0123,Decision Making Skills,INST035,CAT016,1799,04-18-2024,Inactive
C0124,Stress Management Techniques,INST028,CAT017,2799,26/05/2023,ACTIVE
C0125,Focus & Deep Work Strategies,INST028,CAT017,2456,2022-10-06,Active
C0126,habit formation & breaking,INST003,CAT017,3546,2025-01-22,Active
C0127,Getting Things Done (GTD),INST014,CAT017,599,2023-06-18,Active
C0128,Productivity Hacks & Tools,INST008,CAT017,3399,29-Jan-2025,Active
C0129,focus & deep work strategies,INST036,CAT017,2699,11-10-2023,Active
C0130,getting things done (gtd),INST038,CAT017,499,2023-05-02,INACTIVE
C0131,STRESS MANAGEMENT TECHNIQUES,INST040,CAT017,3999,16/07/2023,ACTIVE
C0132,Work-Life Balance Workshop,INST014,CAT017,2099,20/07/2022,Active
C0133,Conversational English Practice,INST016,CAT019,2899,02/07/2022,Active
C0134,English Grammar Complete Course,INST028,CAT019,1899,20-Apr-2023,active
C0135,English Speaking Confidence,INST037,CAT019,2867,2023-04-01,Active
C0136,English Writing Skills,INST016,CAT019,2515,2022-01-05,Active
C0137,IELTS Preparation Bootcamp,INST019,CAT019,2399,29-Jun-2023,Inactive
C0138,english writing skills,INST041,CAT019,499,05-18-2022,active
C0139,English Grammar Complete Course,INST021,CAT019,1499,09/12/2024,active
C0140,English Writing Skills,INST030,CAT019,2399,2022-12-06,inactive
C0141,English Grammar Complete Course,INST044,CAT019,1199,29/06/2024,Active
C0142,Advanced English Vocabulary,INST035,CAT019,1399,27/04/2024,ACTIVE
C0143,Financial Modeling & Valuation,INST014,CAT021,3450,2024-03-06,Active
C0144, Equity Research Training ,INST004,CAT021,3699,2024-02-12,active
C0145,Corporate Finance Fundamentals,INST013,CAT021,899,02/12/2023,Active
C0146,Financial Statement Analysis,INST039,CAT021,3316,23/09/2022,Removed
C0147,corporate finance fundamentals,INST045,CAT021,3009,25-Feb-2024,Removed
C0148,EQUITY RESEARCH TRAINING,INST018,CAT021,678,15/01/2023,Active
C0149,Investment Analysis Workshop,INST039,CAT021,3399,2023-08-03,Inactive
C0150,Financial Statement Analysis,INST045,CAT021,3799,20/08/2023,active
C0151,Investment Analysis Workshop,INST008,CAT021,3883,11/03/2023,Active
C0152,QuickBooks Complete Training,INST011,CAT022,2899,2023-11-29,Inactive
C0153,Accounting Principles & Basics,INST038,CAT022,1899,04-19-2022,Inactive
C0154,Tax Preparation Course,INST009,CAT022,2168,09/01/2024,ACTIVE
C0155,QuickBooks Complete Training,INST033,CAT022,2588,2022-09-04,Removed
C0156,Bookkeeping Essentials,INST025,CAT022,2199,2022-08-27,Active
C0157,Managerial Accounting,INST034,CAT022,3899,10-17-2024,active
C0158,Accounting for Small Business,INST017,CAT022,1899,2024-01-06,active
C0159,Financial Accounting Basics,INST037,CAT022,2399,10/06/2024,Active
C0160,QuickBooks Complete Training,INST015,CAT022,1799,2022-10-16,Active
